model,log_loss,brier,accuracy
naive (base rate),0.6868010164916407,0.2468329181893795,0.5573783794749726
elo_only (pregame),0.656732025836674,0.2327148064744493,0.5894656405956261
logistic (margin+time),0.5029729263150945,0.17067546638181538,0.7303520469576272
xgboost (all features),0.7087093591690063,0.21699053049087524,0.7015242294323699
